X,Y,med_indicator,chip_indicator,Specialty_keys,BOD_Formatted_Name,Latitude,Longitude,CensusYear,CensusTract,CensusCountyFips,CensusStateFips,CensusTract100,CensusStateFips2,State_county_tract
39.09381794,-104.860397,1,0,specialist,Scott Isaac Whitney,39.09356561,-104.8611036,TwoThousandTen,74,41,8,7400,8,8041007400
39.84094699,-105.0819873,1,0,specialist,Kelvan Clifford Luff,39.8410198,-105.0824372,TwoThousandTen,102.06,59,8,10206,8,8059010206
40.41388589,-104.7173668,1,0,specialist,Tyler S. Karlin,40.4131452,-104.7177494,TwoThousandTen,12.02,123,8,1202,8,8123001202
37.29747054,-107.8490889,1,0,specialist,Christopher Norman Lovell,37.29750594,-107.8491698,TwoThousandTen,9708,67,8,970800,8,8067970800
40.42132492,-105.0593645,1,0,specialist,Michael Andrew Zulian,40.4215431,-105.0589105,TwoThousandTen,17.06,69,8,1705,8,8069001706
39.56397172,-105.1121769,1,0,specialist,Scott Walter Ohmart,39.5638768,-105.1128321,TwoThousandTen,120.24,59,8,12024,8,8059012024
39.74365703,-104.8368207,1,0,specialist,Elizabeth Diaz Ramos,39.7440135,-104.8360276,TwoThousandTen,81,1,8,8100,8,8001008100
39.74365703,-104.8368207,1,0,specialist,Benjamin Daniel Foley,39.7440135,-104.8360276,TwoThousandTen,81,1,8,8100,8,8001008100
39.62031205,-104.8920357,1,0,specialist,Kristopher A Mendoza,39.620943,-104.8919189,TwoThousandTen,68.58,5,8,6858,8,8005006858
39.77668746,-105.03423,1,0,specialist,LIA DARLENE BAROS,39.7765377,-105.0342301,TwoThousandTen,3.01,31,8,301,8,8031000301
39.51174018,-104.764129,1,0,specialist,Thomas James Chapman,39.51168,-104.7649155,TwoThousandTen,139.05,35,8,13905,8,8035013905
39.74365703,-104.8368207,1,0,specialist,Philip Burns Ciborowski,39.7440135,-104.8360276,TwoThousandTen,81,1,8,8100,8,8001008100
39.61290119,-105.1007646,1,0,specialist,Galen T Callender,39.6121235,-105.1005057,TwoThousandTen,120.54,59,8,12054,8,8059012054
39.85535227,-105.0817714,1,0,specialist,Robert Kirk McBride,39.82647427,-105.0632717,TwoThousandTen,102.08,59,8,10208,8,8059010208
38.79722636,-104.7577278,1,0,specialist,Brian Carl Leypoldt,38.79802539,-104.7576571,TwoThousandTen,54,41,8,5400,8,8041005400
